FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y
,4070004100,101,어음2교차로,0,제주ITS참조,korea,5, ,407,OEXT4070004100, ,141385.858100000010000,87286.774600000004000
,4070005800,101,원동교차로,0,제주ITS참조,korea,5, ,407,OEXT4070005800, ,142082.486800000010000,89444.176099999997000
,4070002600,101,봉성교차로,0,제주ITS참조,korea,5, ,407,OEXT4070002600, ,140237.554999999990000,83900.086899999995000
,4080015100,101,동광1교차로,0,제주ITS참조,korea,5, ,408,OEXT4080015100, ,139611.812400000000000,81244.303100000005000
,4080014000,101,동광2교차로,0,제주ITS참조,korea,5, ,408,OEXT4080014000, ,139079.073999999990000,79992.838699999993000
,4080012600,101,동광램프(서귀포),0,제주ITS참조,korea,5, ,408,OEXT4080012600, ,139104.232699999990000,78674.974000000002000
,4080013900,101,동광검문소,0,제주ITS참조,korea,5, ,408,OEXT4080013900, ,138599.656800000000000,79846.732000000004000
,4070003500,101,금악초등교,0,제주ITS참조,korea,5, ,407,OEXT4070003500, ,134169.573500000000000,85626.910099999994000
,4070002200,101,저지리,0,제주ITS참조,korea,5, ,407,OEXT4070002200, ,136277.601700000000000,83793.348100000003000
,4070002000,101,이시돌목장,0,제주ITS참조,korea,5, ,407,OEXT4070002000, ,136940.881499999990000,83697.818899999998000
,4070007000,101,상대리,0,제주ITS참조,korea,5, ,407,OEXT4070007000, ,134565.704800000010000,91733.080199999997000
,4070008400,101,어도초등교,0,제주ITS참조,korea,5, ,407,OEXT4070008400, ,137165.583199999990000,93652.785600000003000
,4070009600,101,납읍리,0,제주ITS참조,korea,5, ,407,OEXT4070009600, ,138266.017200000000000,94807.436700000006000
,4070021100,101,김녕입구,0, ,korea,5, ,407,OEXT4070021100, ,175547.313599999990000,106870.834900000000000
,4070020600,101,김녕교차로,0, ,korea,5, ,407,OEXT4070020600, ,178583.382600000010000,106449.814600000000000
,4070020300,101,입수교차로,0, ,korea,5, ,407,OEXT4070020300, ,181024.502899999990000,106343.712400000000000
,4070020100,101,만장굴삼거리,0, ,korea,5, ,407,OEXT4070020100, ,179394.455699999990000,106197.944699999990000
,4070019900,103,북촌,0, ,korea,5, ,407,OEXT4070019900, ,171639.679100000010000,106057.659100000000000
,4070019800,103,북촌,0, ,korea,5, ,407,OEXT4070019800, ,171305.979400000010000,105931.813899999990000
,4070019600,101,행원교차로,0, ,korea,5, ,407,OEXT4070019600, ,181801.043899999990000,105832.375499999990000
,4070019500,101,북촌삼거리,0, ,korea,5, ,407,OEXT4070019500, ,170696.237900000010000,105603.470900000000000
,4070019400,101,한동교차로,0, ,korea,5, ,407,OEXT4070019400, ,183759.292699999990000,105164.598600000000000
,4070019300,101,함덕리,0, ,korea,5, ,407,OEXT4070019300, ,169795.689799999990000,104901.440200000000000
,4070018900,101,함덕입구,0, ,korea,5, ,407,OEXT4070018900, ,168309.705500000010000,104840.044500000000000
,4070018000,101,평대초교앞,0, ,korea,5, ,407,OEXT4070018000, ,185098.193499999990000,103954.000400000000000
,4070017600,101,갓머리삼거리,0, ,korea,5, ,407,OEXT4070017600, ,186191.395599999990000,103326.444500000000000
,4070017300,101,양천동,0, ,korea,5, ,407,OEXT4070017300, ,167083.016999999990000,102809.032700000000000
,4070017100,101,연수동삼거리,0, ,korea,5, ,407,OEXT4070017100, ,188326.589100000010000,102856.386000000000000
,4070017000,101,세화입구,0, ,korea,5, ,407,OEXT4070017000, ,187086.442000000010000,102744.093599999990000
,4070016900,101,하도입구,0, ,korea,5, ,407,OEXT4070016900, ,189078.088300000000000,102743.405799999990000
,4070016500,101,선흘리,0, ,korea,5, ,407,OEXT4070016500, ,172216.699499999990000,101982.935200000010000
,4070016300,101,창흥교차로,0, ,korea,5, ,407,OEXT4070016300, ,189537.224900000000000,101609.467999999990000
,4070015300,101,비자림입구,0, ,korea,5, ,407,OEXT4070015300, ,182543.976700000000000,100345.723000000000000
,4070015200,101,종달교차로,0, ,korea,5, ,407,OEXT4070015200, ,190071.363400000000000,100364.372700000010000
,4070015000,101,덕천입구,0, ,korea,5, ,407,OEXT4070015000, ,181981.538999999990000,100131.698399999990000
,4070014600,101,와산리,0, ,korea,5, ,407,OEXT4070014600, ,170472.598399999990000,99832.257800000007000
,4070014200,101,목선동,0, ,korea,5, ,407,OEXT4070014200, ,173818.561300000000000,99582.801600000006000
,4080023600,101,시흥교차로,0, ,korea,5, ,408,OEXT4080023600, ,190509.766000000000000,98714.493600000002000
,4070013600,101,송당입구,0, ,korea,5, ,407,OEXT4070013600, ,179836.163800000010000,98352.551300000006000
,4070013500,101,구엄초교앞,0, ,korea,5, ,407,OEXT4070013500, ,141796.325500000010000,97952.273199999996000
,4070013300,101,신엄,0, ,korea,5, ,407,OEXT4070013300, ,141086.487400000010000,97661.393299999996000
,4070013200,101,자운당,0, ,korea,5, ,407,OEXT4070013200, ,140323.471500000010000,97299.020499999999000
,4070012600,101,송당사거리,0, ,korea,5, ,407,OEXT4070012600, ,179229.196300000010000,97513.257199999993000
,4080023400,101,송내교차로,0, ,korea,5, ,408,OEXT4080023400, ,190964.187199999990000,97422.595600000001000
,4070012200,101,애월입구,0, ,korea,5, ,407,OEXT4070012200, ,137728.741299999990000,96765.566699999996000
,4070011800,101,애월사거리,0, ,korea,5, ,407,OEXT4070011800, ,136836.665400000000000,96599.650399999999000
,4070011700,101,애월입구,0, ,korea,5, ,407,OEXT4070011700, ,135945.255500000000000,96347.095700000005000
,4080023200,101,오조한도교입구,0, ,korea,5, ,408,OEXT4080023200, ,191504.623900000010000,96861.550900000002000
,4080023000,101,오조교차로,0, ,korea,5, ,408,OEXT4080023000, ,191692.407100000010000,96377.114199999996000
,4070010000,101,곽지사거리,0, ,korea,5, ,407,OEXT4070010000, ,135577.119100000010000,95139.509800000000000
,4070009400,101,귀덕사거리,0, ,korea,5, ,407,OEXT4070009400, ,134495.853600000000000,94724.554000000004000
,4070009200,101,귀덕1리,0, ,korea,5, ,407,OEXT4070009200, ,133953.733299999990000,94503.167100000006000
,4080022500,101,고성교차로,0, ,korea,5, ,408,OEXT4080022500, ,191871.676600000010000,94849.780599999998000
,4080022300,101,성산교차로,0, ,korea,5, ,408,OEXT4080022300, ,191905.689900000000000,94510.148300000001000
,4070008300,101,용운삼거리,0, ,korea,5, ,407,OEXT4070008300, ,132711.767400000010000,93486.831200000001000
,4080021900,101,신양교차로,0, ,korea,5, ,408,OEXT4080021900, ,191598.822300000000000,93480.369699999996000
,4080021800,101,수산2리입구,0, ,korea,5, ,408,OEXT4080021800, ,187215.563599999990000,93166.842000000004000
,4070007700,101,대림사거리,0, ,korea,5, ,407,OEXT4070007700, ,132860.802700000000000,92302.296799999996000
,4080021600,101,난산입구,0, ,korea,5, ,408,OEXT4080021600, ,184396.946499999990000,91003.482199999999000
,4070006200,101,동명사거리,0, ,korea,5, ,407,OEXT4070006200, ,132038.613099999990000,90389.543200000000000
,4080021200,101,온평교차로,0, ,korea,5, ,408,OEXT4080021200, ,190444.579600000000000,90443.682300000000000
,4070005900,101,명월교차로,0, ,korea,5, ,407,OEXT4070005900, ,131494.261700000000000,89707.147700000001000
,4070005600,101,명월하동,0, ,korea,5, ,407,OEXT4070005600, ,131205.345500000000000,89450.975800000000000
,4080021100,101,난산사거리,0, ,korea,5, ,408,OEXT4080021100, ,187371.100799999990000,89903.797699999996000
,4070005400,101,명월입구,0, ,korea,5, ,407,OEXT4070005400, ,131449.521700000010000,89100.461100000000000
,4070005200,101,명월사거리,0, ,korea,5, ,407,OEXT4070005200, ,131478.466900000000000,89008.911900000006000
,4070004800,101,협재사거리,0, ,korea,5, ,407,OEXT4070004800, ,130136.046400000010000,88482.980599999995000
,4070004400,101,금능사거리,0, ,korea,5, ,407,OEXT4070004400, ,128914.320300000010000,87895.493199999997000
