FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y,x,y,X2,Y2
,4060010200,101,제2산록도로입구,0,제주ITS참조,korea,5, ,406,OEXT4060010200, ,149784.729200000000000,77608.377200000003000,150,78,126° 27' 39.234"" E,33° 17' 26.131"" N
,4060012300,101,영실입구,0,제주ITS참조,korea,5, ,406,OEXT4060012300, ,149663.918899999990000,82319.588399999993000,150,82,126° 27' 33.622"" E,33° 19' 59.024"" N
,4070014100,102,하귀입구,0,제주ITS참조,korea,5, ,407,OEXT4070014100, ,145249.273200000000000,99225.394000000000000,145,99,126° 24' 39.224"" E,33° 29' 6.951"" N
,4070018400,102,신촌입구,0,제주ITS참조,korea,5, ,407,OEXT4070018400, ,164372.764900000010000,104085.440700000010000,164,104,126° 36' 59.261"" E,33° 31' 47.600"" N
,4070018200,101,진드르,0,제주ITS참조,korea,5, ,407,OEXT4070018200, ,164104.488199999990000,103862.225100000000000,164,104,126° 36' 48.896"" E,33° 31' 40.323"" N
,4070011600,101,무수천사가로,0,제주ITS참조,korea,5, ,407,OEXT4070011600, ,148575.368300000000000,96422.196299999996000,149,96,126° 26' 48.634"" E,33° 27' 36.564"" N
,4070011100,101,광령2교차로,0,제주ITS참조,korea,5, ,407,OEXT4070011100, ,147999.338500000010000,95669.870299999995000,148,96,126° 26' 26.485"" E,33° 27' 12.046"" N
,4070009700,101,광령3교차로,0,제주ITS참조,korea,5, ,407,OEXT4070009700, ,147463.464400000000000,94903.300399999993000,147,95,126° 26' 5.898"" E,33° 26' 47.072"" N
,4070009000,101,관광대학입구,0,제주ITS참조,korea,5, ,407,OEXT4070009000, ,147310.121199999990000,94747.435800000007000,147,95,126° 26' 0.000"" E,33° 26' 41.986"" N
,4070008500,101,고성교차로,0,제주ITS참조,korea,5, ,407,OEXT4070008500, ,146103.988199999990000,93511.598499999993000,146,94,126° 25' 13.565"" E,33° 26' 1.659"" N
,4070007600,101,유수암교차로,0,제주ITS참조,korea,5, ,407,OEXT4070007600, ,144870.696399999990000,92111.566200000001000,145,92,126° 24' 26.132"" E,33° 25' 15.993"" N
,4070006800,101,경마장교차로,0,제주ITS참조,korea,5, ,407,OEXT4070006800, ,144017.953600000010000,91329.104300000006000,144,91,126° 23' 53.302"" E,33° 24' 50.438"" N
