FID_,LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
,4080151400,4080093200,4080093300,0,1.000000000000000,107,-,0,000,50.000000000000000,0,43200.000000000000000,0.000000000000000,새가름교, ,5,49000,408,003,-,NTIC_0609_S, ,TEMP102,TEMP103,29.789357678799998
,4080151500,4080094600,4080013503,0,1.000000000000000,107,-,0,000,50.000000000000000,0,43200.000000000000000,0.000000000000000,모살물교, ,5,49000,408,003,-,NTIC_0609_S, ,TEMP676, ,79.231900132400000
,4080151600,4080013503,4080094600,0,1.000000000000000,107,-,0,000,50.000000000000000,0,43200.000000000000000,0.000000000000000,모살물교, ,5,49000,408,003,-,NTIC_0611_S, , ,TEMP676,79.231688218499997
,4080151900,4080092300,4080092200,0,1.000000000000000,107,-,0,000,50.000000000000000,0,32400.000000000000000,0.000000000000000,서중교, ,5,49000,408,003,-,NTIC_0609_S, ,TEMP572,TEMP571,40.622402161700002
,4080152000,4080092200,4080092300,0,1.000000000000000,107,-,0,000,50.000000000000000,0,32400.000000000000000,0.000000000000000,서중교, ,5,49000,408,003,-,NTIC_0609_S, ,TEMP571,TEMP572,40.622390775299998
,4080152100,4080090700,4080090600,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609_S, ,TEMP573,TEMP574,46.284997847000000
,4080152200,4080090600,4080090700,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609_S, ,TEMP574,TEMP573,46.284918716400000
,4080152300,4080087500,4080087200,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609_S, ,TEMP563,TEMP82,64.633964644200006
,4080152400,4080087200,4080087500,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP82,TEMP563,64.633944348900002
,4080152500,4080005501,4080085600,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0611_S, , ,TEMP536,245.100987766999990
,4080152600,4080085600,4080005501,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP536, ,245.101052063999990
,4080152700,4080087000,4080087100,0,2.000000000000000,103,일반국도12호선,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,12,NTIC_0609, ,TEMP540,TEMP535,356.171994233000020
,4080152800,4080087100,4080087000,0,2.000000000000000,103,일반국도12호선,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,12,NTIC_0609, ,TEMP535,TEMP540,356.171596125000010
,4080152900,4080085600,4080087100,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP536,TEMP535,283.188666031000030
,4080153000,4080087100,4080085600,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP535,TEMP536,283.188668676000020
,4080153100,4080084800,4080084700,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP531,TEMP532,117.354262392000000
,4080153200,4080084700,4080084800,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP532,TEMP531,117.354485206000010
,4080153300,4080085700,4080085800,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP526,TEMP525,66.365985504099996
,4080153400,4080085800,4080085700,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP525,TEMP526,66.365922806399993
,4080153500,4080005502,4080085700,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000,신규도로, ,5,49000,408,000,-,NTIC_0611_S, , ,TEMP526,176.876873480000000
,4080153600,4080085700,4080005502,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000,신규도로, ,5,49000,408,000,-,NTIC_0609, ,TEMP526, ,176.876873480999990
,4080153700,4080006100,4080086000,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0611_S, , ,TEMP524,183.053914185000000
,4080153800,4080086000,4080006100,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP524, ,183.053859133000000
,4080153900,4080086000,4080086400,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP524,TEMP523,106.519054154000000
,4080154000,4080086400,4080086000,0,1.000000000000000,107,-,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0609, ,TEMP523,TEMP524,106.518881182000000
,4080154100,4080006200,4080086400,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,408,000,-,NTIC_0611_S, , ,TEMP523,196.642435758000000
