"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"36",NA,4080157700,4080088800,4080088900,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP488","TEMP487",33.9298230286
"37",NA,4080157800,4080088900,4080088800,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP487","TEMP488",33.9299456486
"38",NA,4080157900,4080088600,4080088800,0,2,107,"-",0,0,80,0,43200,0,"제2태흥교","",5,49000,408,3,"-","NTIC_0609","","TEMP489","TEMP488",95.2577995449
"39",NA,4080158000,4080088800,4080088600,0,2,107,"-",0,0,80,0,43200,0,"제2태흥교","",5,49000,408,3,"-","NTIC_0609","","TEMP488","TEMP489",95.2575803865
"40",NA,4080158100,4080087700,4080087800,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP501","TEMP499",109.808465095
"41",NA,4080158200,4080087800,4080087700,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP499","TEMP501",109.808368278
"42",NA,4080158300,4080006901,4080087700,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP501",261.434668002
"43",NA,4080158400,4080087700,4080006901,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP501","",261.434474366
"44",NA,4080158500,4080094500,4080094300,0,1,107,"-",0,0,30,0,43200,0,"제3의귀교","",5,49000,408,3,"-","NTIC_0609","","TEMP669","TEMP668",53.7924835334
"45",NA,4080158600,4080094300,4080094500,0,1,107,"-",0,0,30,0,43200,0,"제3의귀교","",5,49000,408,3,"-","NTIC_0609","","TEMP668","TEMP669",53.7925732099
