"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"30",NA,2.01586416817457e-314,2.01579124408524e-314,2.01583076933691e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP521",162.655403472
"31",NA,2.01586421758113e-314,2.01583076933691e-314,2.01579124408524e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP521","",162.655088233
"32",NA,2.01586555155838e-314,2.01583052230409e-314,2.01579124408524e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","0621Y_F","","TEMP523","",106.627333743
"33",NA,2.01586560096494e-314,2.01579124408524e-314,2.01583052230409e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP523",106.627283314
"34",NA,2.01586565037151e-314,2.0158317574682e-314,2.01583180687477e-314,0,2,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP487","TEMP486",141.202592622
"35",NA,2.01586569977807e-314,2.01583180687477e-314,2.0158317574682e-314,0,2,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP486","TEMP487",141.202470002
"36",NA,2.01586574918464e-314,2.01583170806164e-314,2.0158317574682e-314,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP488","TEMP487",33.9298230286
"37",NA,2.0158657985912e-314,2.0158317574682e-314,2.01583170806164e-314,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP487","TEMP488",33.9299456486
"38",NA,2.01586584799776e-314,2.01583160924851e-314,2.01583170806164e-314,0,2,107,"-",0,0,80,0,43200,0,"제2태흥교","",5,49000,408,3,"-","NTIC_0609","","TEMP489","TEMP488",95.2577995449
"39",NA,2.01586589740433e-314,2.01583170806164e-314,2.01583160924851e-314,0,2,107,"-",0,0,80,0,43200,0,"제2태흥교","",5,49000,408,3,"-","NTIC_0609","","TEMP488","TEMP489",95.2575803865
"40",NA,2.01586594681089e-314,2.01583116458943e-314,2.01583121399599e-314,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP501","TEMP499",109.808465095
"41",NA,2.01586599621746e-314,2.01583121399599e-314,2.01583116458943e-314,0,2,107,"-",0,0,80,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP499","TEMP501",109.808368278
"42",NA,2.01586604562402e-314,2.01579124457931e-314,2.01583116458943e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP501",261.434668002
"43",NA,2.01586609503059e-314,2.01583116458943e-314,2.01579124457931e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP501","",261.434474366
"44",NA,2.01586614443715e-314,2.01583452423582e-314,2.01583442542269e-314,0,1,107,"-",0,0,30,0,43200,0,"제3의귀교","",5,49000,408,3,"-","NTIC_0609","","TEMP669","TEMP668",53.7924835334
"45",NA,2.01586619384372e-314,2.01583442542269e-314,2.01583452423582e-314,0,1,107,"-",0,0,30,0,43200,0,"제3의귀교","",5,49000,408,3,"-","NTIC_0609","","TEMP668","TEMP669",53.7925732099
"46",NA,2.01588126284591e-314,2.01583808150847e-314,2.0158380321019e-314,0,1,107,"-",0,0,50,0,32000,0,"제3송천교","",5,49000,408,3,"-","NTIC_0609","","TEMP438","TEMP437",54.7937939319
